Mês Ref.;Saldo Final XP;Aporte XP;Saldo Final Inter;Aporte Inter;Saldo Final NuBank;Aporte NuBank;Saldo Total Final;Crescimento Total (%);Rentabilidade Pura (%)
03/10/2025;$349.372,75;$0,00;$50.000,00;$0,00;$50.121,98;$8.000,00;R$449.494,73;2,78%;1,00%
03/11/2025;$352.866,48;$0,00;$50.500,00;$0,00;$58.623,20;$0,00;R$461.989,68;;
